	name	mfr	type	calories	protein	fat	sodium	fiber	carbo	sugars	potass	potass	shelf	weight	rating
0	100% Bran	N	C	212	12	3	393	30.3030303030303	15.15151515151515	18	75	848	3	1.0	68.402973
1	100% Natural Bran	Q	C	120	3	5	15	2.0	8.0	8	0	135	3	1.0	33.983678999999995
2	All-Bran	K	C	212	12	3	787	27.27272727272727	21.21212121212121	15	75	969	3	1.0	59.425505
3	All-Bran with Extra Fiber	K	C	100	8	0	280	28.0	16.0	0	50	660	3	1.0	93.704912
4	Almond Delight	R	C	146	2	2	266	1.3333333333333333	18.666666666666668	10	33	-1	3	1.0	34.384843
5	Apple Cinnamon Cheerios	G	C	146	2	2	240	2.0	14.0	13	33	93	1	1.0	29.509541
6	Apple Jacks	K	C	110	2	0	125	1.0	11.0	14	25	30	2	1.0	33.174094000000004
7	Basic 4	G	C	173	4	2	280	2.6666666666666665	24.0	10	33	133	3	1.33	37.038562
8	Bran Chex	R	C	134	2	1	298	5.970149253731343	22.388059701492537	8	37	186	1	1.0	49.120253000000005
9	Bran Flakes	P	C	134	4	0	313	7.462686567164178	19.402985074626866	7	37	283	3	1.0	53.313813
10	Cap'n'Crunch	Q	C	160	1	2	293	0.0	16.0	16	33	46	2	1.0	18.042851000000002
11	Cheerios	G	C	110	6	2	290	2.0	17.0	1	25	105	1	1.0	50.764998999999996
12	Cinnamon Toast Crunch	G	C	160	1	4	280	0.0	17.333333333333332	12	33	60	2	1.0	19.823573
13	Clusters	G	C	220	6	4	280	4.0	26.0	14	50	210	3	1.0	40.400208
14	Cocoa Puffs	G	C	110	1	1	180	0.0	12.0	13	25	55	2	1.0	22.736446
15	Corn Chex	R	C	110	2	0	280	0.0	22.0	3	25	25	1	1.0	41.445019
16	Corn Flakes	K	C	100	2	0	290	1.0	21.0	2	25	35	1	1.0	45.863324
17	Corn Pops	K	C	110	1	0	90	1.0	13.0	12	25	20	2	1.0	35.782790999999996
18	Count Chocula	G	C	110	1	1	180	0.0	12.0	13	25	65	2	1.0	22.396513
19	Cracklin' Oat Bran	K	C	220	6	6	280	8.0	20.0	14	50	320	3	1.0	40.448772
20	Cream of Wheat (Quick)	N	H	100	3	0	80	1.0	21.0	0	0	-1	2	1.0	64.533816
21	Crispix	K	C	110	2	0	220	1.0	21.0	3	25	30	3	1.0	46.895644
22	Crispy Wheat & Raisins	G	C	133	2	1	186	2.6666666666666665	14.666666666666666	13	33	160	3	1.0	36.176196000000004
23	Double Chex	R	C	133	2	0	253	1.3333333333333333	24.0	6	33	106	3	1.0	44.330856
24	Froot Loops	K	C	110	2	1	125	1.0	11.0	13	25	30	2	1.0	32.207582
