,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
0,100% Bran,N,C,212,12,3,393,30.3030303030303,15.15151515151515,18,848,75,3,1.0,1,68.402973
1,100% Natural Bran,Q,C,120,3,5,15,2.0,8.0,8,135,0,3,1.0,1,33.983678999999995
2,All-Bran,K,C,212,12,3,787,27.27272727272727,21.21212121212121,15,969,75,3,1.0,1,59.425505
3,All-Bran with Extra Fiber,K,C,100,8,0,280,28.0,16.0,0,660,50,3,1.0,1,93.704912
4,Almond Delight,R,C,146,2,2,266,1.3333333333333333,18.666666666666668,10,-1,33,3,1.0,1,34.384843
5,Apple Cinnamon Cheerios,G,C,146,2,2,240,2.0,14.0,13,93,33,1,1.0,1,29.509541
6,Apple Jacks,K,C,110,2,0,125,1.0,11.0,14,30,25,2,1.0,1,33.174094000000004
7,Basic 4,G,C,173,4,2,280,2.6666666666666665,24.0,10,133,33,3,1.33,1,37.038562
8,Bran Chex,R,C,134,2,1,298,5.970149253731343,22.388059701492537,8,186,37,1,1.0,1,49.120253000000005
9,Bran Flakes,P,C,134,4,0,313,7.462686567164178,19.402985074626866,7,283,37,3,1.0,1,53.313813
10,Cap'n'Crunch,Q,C,160,1,2,293,0.0,16.0,16,46,33,2,1.0,1,18.042851000000002
11,Cheerios,G,C,110,6,2,290,2.0,17.0,1,105,25,1,1.0,1,50.764998999999996
12,Cinnamon Toast Crunch,G,C,160,1,4,280,0.0,17.333333333333332,12,60,33,2,1.0,1,19.823573
13,Clusters,G,C,220,6,4,280,4.0,26.0,14,210,50,3,1.0,1,40.400208
14,Cocoa Puffs,G,C,110,1,1,180,0.0,12.0,13,55,25,2,1.0,1,22.736446
15,Corn Chex,R,C,110,2,0,280,0.0,22.0,3,25,25,1,1.0,1,41.445019
16,Corn Flakes,K,C,100,2,0,290,1.0,21.0,2,35,25,1,1.0,1,45.863324
17,Corn Pops,K,C,110,1,0,90,1.0,13.0,12,20,25,2,1.0,1,35.782790999999996
18,Count Chocula,G,C,110,1,1,180,0.0,12.0,13,65,25,2,1.0,1,22.396513
19,Cracklin' Oat Bran,K,C,220,6,6,280,8.0,20.0,14,320,50,3,1.0,1,40.448772
20,Cream of Wheat (Quick),N,H,100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1,64.533816
21,Crispix,K,C,110,2,0,220,1.0,21.0,3,30,25,3,1.0,1,46.895644
22,Crispy Wheat & Raisins,G,C,133,2,1,186,2.6666666666666665,14.666666666666666,13,160,33,3,1.0,1,36.176196000000004
23,Double Chex,R,C,133,2,0,253,1.3333333333333333,24.0,6,106,33,3,1.0,1,44.330856
24,Froot Loops,K,C,110,2,1,125,1.0,11.0,13,30,25,2,1.0,1,32.207582
25,Frosted Flakes,K,C,146,1,0,266,1.3333333333333333,18.666666666666668,14,33,33,1,1.0,1,31.435972999999997
26,Frosted Mini-Wheats,K,C,125,3,0,0,3.75,17.5,8,125,31,2,1.0,1,58.345141000000005
27,Fruit & Fibre Dates; Walnuts; and Oats,P,C,179,4,2,238,7.462686567164178,17.91044776119403,14,298,37,3,1.25,1,40.917047
28,Fruitful Bran,K,C,179,4,0,358,7.462686567164178,20.8955223880597,17,283,37,3,1.33,1,41.015492
29,Fruity Pebbles,P,C,146,1,1,180,0.0,17.333333333333332,16,33,33,2,1.0,1,28.025765000000003
30,Golden Crisp,P,C,113,2,0,51,0.0,12.5,17,45,28,1,1.0,1,35.252444
31,Golden Grahams,G,C,146,1,1,373,0.0,20.0,12,60,33,2,1.0,1,23.804043
32,Grape Nuts Flakes,P,C,113,3,1,159,3.409090909090909,17.045454545454547,5,96,28,3,1.0,1,52.076896999999995
33,Grape-Nuts,P,C,440,12,0,680,12.0,68.0,12,360,100,3,1.0,1,53.37100699999999
34,Great Grains Pecan,P,C,363,9,9,227,9.09090909090909,39.39393939393939,12,303,75,3,1.0,1,45.811716
35,Honey Graham Ohs,Q,C,120,1,2,220,1.0,12.0,11,45,25,2,1.0,1,21.871292
36,Honey Nut Cheerios,G,C,146,4,1,333,2.0,15.333333333333334,13,120,33,1,1.0,1,31.072217
37,Honey-comb,P,C,110,1,0,180,0.0,14.0,11,35,25,1,1.0,1,28.742414
38,Just Right Crunchy  Nuggets,K,C,110,2,1,170,1.0,17.0,6,60,100,3,1.0,1,36.523683
39,Just Right Fruit & Nut,K,C,186,4,1,226,2.6666666666666665,26.666666666666668,12,126,133,3,1.3,1,36.471512
40,Kix,G,C,110,2,1,260,0.0,21.0,3,40,25,2,1.0,1,39.241114
41,Life,Q,C,149,5,2,223,2.9850746268656714,17.91044776119403,8,141,37,2,1.0,1,45.328074
42,Lucky Charms,G,C,110,2,1,180,0.0,12.0,12,55,25,2,1.0,1,26.734515000000002
43,Maypo,A,H,100,4,1,0,0.0,16.0,3,95,25,2,1.0,1,54.850917
44,Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3.0,16.0,11,170,25,3,1.0,1,37.136863
45,Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3.0,16.0,11,170,25,3,1.0,1,34.139765000000004
46,Mueslix Crispy Blend,K,C,238,4,2,223,4.477611940298507,25.37313432835821,19,238,37,3,1.5,1,30.313351
47,Multi-Grain Cheerios,G,C,100,2,1,220,2.0,15.0,6,90,25,1,1.0,1,40.105965000000005
48,Nut&Honey Crunch,K,C,179,2,1,283,0.0,22.388059701492537,13,59,37,2,1.0,1,29.924284999999998
49,Nutri-Grain Almond-Raisin,K,C,208,4,2,328,4.477611940298507,31.34328358208955,10,194,37,3,1.33,1,40.69232
50,Nutri-grain Wheat,K,C,90,3,0,170,3.0,18.0,2,90,25,3,1.0,1,59.642837
51,Oatmeal Raisin Crisp,G,C,260,6,4,340,3.0,27.0,20,240,50,3,1.25,1,30.450843
52,Post Nat. Raisin Bran,P,C,179,4,1,298,8.955223880597014,16.417910447761194,20,388,37,3,1.33,1,37.840594
53,Product 19,K,C,100,3,0,320,1.0,20.0,3,45,100,3,1.0,1,41.50354
54,Puffed Rice,Q,C,50,1,0,0,0.0,13.0,0,15,0,3,0.5,1,60.756112
55,Puffed Wheat,Q,C,50,2,0,0,1.0,10.0,0,50,0,3,0.5,1,63.005644999999994
56,Quaker Oat Squares,Q,C,200,8,2,270,4.0,28.0,12,220,50,3,1.0,1,49.511874
57,Quaker Oatmeal,Q,H,149,7,2,0,4.029850746268656,-1.4925373134328357,-1,164,0,1,1.0,1,50.828392
58,Raisin Bran,K,C,160,4,1,280,6.666666666666667,18.666666666666668,16,320,33,2,1.33,1,39.259197
59,Raisin Nut Bran,G,C,200,6,4,280,5.0,21.0,16,280,50,3,1.0,1,39.7034
60,Raisin Squares,K,C,180,4,0,0,4.0,30.0,12,220,50,3,1.0,1,55.333142
61,Rice Chex,R,C,110,1,0,240,0.0,23.0,2,30,25,1,1.0,1,41.998933
62,Rice Krispies,K,C,110,2,0,290,0.0,22.0,3,35,25,1,1.0,1,40.560159000000006
63,Shredded Wheat,N,C,80,2,0,0,3.0,16.0,0,95,0,1,0.83,1,68.235885
64,Shredded Wheat 'n'Bran,N,C,134,4,0,0,5.970149253731343,28.35820895522388,0,208,0,1,1.0,1,74.472949
65,Shredded Wheat spoon size,N,C,134,4,0,0,4.477611940298507,29.850746268656714,0,179,0,1,1.0,1,72.801787
66,Smacks,K,C,146,2,1,93,1.3333333333333333,12.0,20,53,33,2,1.0,1,31.230054
67,Special K,K,C,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1,53.131324
68,Strawberry Fruit Wheats,N,C,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1,59.36399300000001
69,Total Corn Flakes,G,C,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1,38.839746000000005
70,Total Raisin Bran,G,C,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1,28.592785
71,Total Whole Grain,G,C,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1,46.658844
72,Triples,G,C,146,2,1,333,0.0,28.0,4,80,33,3,1.0,1,39.106173999999996
73,Trix,G,C,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1,27.753301
74,Wheat Chex,R,C,149,4,1,343,4.477611940298507,25.37313432835821,4,171,37,1,1.0,1,49.787445
75,Wheaties,G,C,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1,51.592193
76,Wheaties Honey Gold,G,C,146,2,1,266,1.3333333333333333,21.333333333333332,10,80,33,1,1.0,1,36.187559
